Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode
96,334.17499,40042.58,1,29415257.19,2,10450.44,1,1204.03,1,2595108.73,1,1825007.78,1,64488.34,1,933668.10,1,20439.56,1,1034.30,1,7355.23,1,46929.66,1,3070.15,1,20549.22,1,22771.59,1,23331.38,1,00.00E00,1

97,335.27499,47384.05,1,26760415.91,2,11061.93,1,1806.06,1,2441003.00,1,1747688.62,1,60677.37,1,854526.97,1,16852.23,1,943.64,1,7591.64,1,40458.81,1,2756.40,1,21707.74,1,20456.14,1,22153.55,1,00.00E00,1

98,336.37499,40554.21,1,28547659.71,2,9318.08,1,602.01,1,2515312.01,1,1785871.32,1,60635.26,1,910891.79,1,16302.30,1,959.68,1,7173.38,1,46232.26,1,2711.58,1,24323.30,1,25569.87,1,23480.64,1,00.00E00,1

99,337.47499,47784.54,1,27700978.81,2,11907.46,1,2408.10,1,2315808.65,1,1735308.22,1,57174.13,1,919564.74,1,17485.53,1,911.57,1,6064.10,1,44193.59,1,2571.51,1,22409.88,1,21053.41,1,20431.99,1,00.00E00,1

100,338.57499,46672.09,1,27297874.15,2,13296.58,1,1421.43,1,2435787.57,1,1756238.88,1,58910.98,1,899906.04,1,18027.83,1,711.74,1,6055.01,1,42967.88,1,3120.57,1,21830.61,1,22436.46,1,20335.50,1,00.00E00,1

